table_name,layer,business_line,business_code,domain,comment
ads_sales_bi,ads,未映射,unmapped,广告/投放,
ads_sales_talent_video_hot_script,ads,达人,talent,视频/内容/素材,达人视频-爆款视频及对应AI脚本明细表
ads_sales_talent_video_script,ads,达人,talent,视频/内容/素材,达人视频-视频及对应AI脚本明细表
ads_sales_talent_video_script_top30_metrics,ads,未映射,unmapped,视频/内容/素材,
ads_talent_video_project_summary_metrics,ads,未映射,unmapped,视频/内容/素材,
ads_talent_video_top10_ranking,ads,未映射,unmapped,视频/内容/素材,
dwd_data_life_douyin_trade_verify_order_poi,dwd,本地生活,local_life,订单交易,订单大宽表(平台：抖音来客 数据来源：订单管理(新)-交易查询-成交明细_核销_投放)
dwd_sales_influencer_video_comment_influencer,dwd,未映射,unmapped,视频/内容/素材,
dwd_sales_sales_influencer_coop_project_influencer_video,dwd,未映射,unmapped,视频/内容/素材,
dwd_syj_video_coop_project_library,dwd,未映射,unmapped,视频/内容/素材,
dwd_union_ads_order_poi_order_detail,dwd,本地生活,local_life,订单交易,本地投放和门店全域成单明细汇总表
dwd_xd_manage_data_life_douyin_sales_detail_99,dwd,本地生活,local_life,订单交易,平台：抖音来客 数据来源：订单管理-售卖明细 筛选time_type为99
dws_sales_talent_video_script_detail,dws,达人,talent,视频/内容/素材,达人视频-单条视频指标与AI脚本明细表
ods_account_allocation_record,ods,投流/投放,traffic,组织/用户/权限,
ods_agent_account_group,ods,投流/投放,traffic,组织/用户/权限,
ods_agent_account_group_item,ods,投流/投放,traffic,组织/用户/权限,
ods_agent_ocean_user_bind,ods,投流/投放,traffic,广告/投放,
ods_agent_ocean_user_bind_advertiser,ods,投流/投放,traffic,广告/投放,
ods_agent_ocean_user_bind_group,ods,投流/投放,traffic,广告/投放,
ods_ai_live_config,ods,直播,live,直播,ai直播配置
ods_ai_live_reply,ods,直播,live,直播,ai直播智能回评
ods_ai_live_reply_history,ods,直播,live,日志/任务/系统,ai直播智能回评历史
ods_ai_prompt_config,ods,技术研发,tech,AI/知识库/机器人,大模型提示词配置
ods_ai_reply,ods,技术研发,tech,AI/知识库/机器人,ai回评
ods_ai_reply_history,ods,技术研发,tech,日志/任务/系统,ai回评历史
ods_ai_reply_template,ods,技术研发,tech,AI/知识库/机器人,ai回评模板
ods_ai_test_create_file_id_record,ods,未映射,unmapped,AI/知识库/机器人,
ods_ai_test_create_file_id_record_split,ods,未映射,unmapped,AI/知识库/机器人,
ods_ai_test_fxp_video_auto_task,ods,未映射,unmapped,日志/任务/系统,
ods_ai_test_gm_douyin_bloger,ods,未映射,unmapped,达人/作者,
ods_ai_test_gm_douyin_videos,ods,未映射,unmapped,AI/知识库/机器人,
ods_ai_test_knowledgebase_docs,ods,未映射,unmapped,AI/知识库/机器人,
ods_ai_test_knowledgebase_points,ods,未映射,unmapped,AI/知识库/机器人,
ods_ai_test_localad_pois,ods,未映射,unmapped,AI/知识库/机器人,
ods_ai_test_ocean_local_project_big,ods,未映射,unmapped,广告/投放,
ods_ai_test_project_analyse_result,ods,未映射,unmapped,AI/知识库/机器人,
ods_ai_test_prompt_config,ods,未映射,unmapped,AI/知识库/机器人,
ods_ai_test_video_analysis_task,ods,未映射,unmapped,日志/任务/系统,
ods_ai_video_reply_config,ods,技术研发,tech,视频/内容/素材,ai短视频回评配置
ods_ai_video_reply_history,ods,技术研发,tech,日志/任务/系统,短视频回评历史
ods_ai_video_script,ods,技术研发,tech,视频/内容/素材,视频脚本创作
ods_ai_video_script_content,ods,技术研发,tech,视频/内容/素材,视频脚本创作内容
ods_auto_video_analysis,ods,内容创意,content,视频/内容/素材,汽车素材AI分析结果表
ods_backup_table_car_model_info2,ods,职能后台,admin,汽车/品牌/车型,
ods_bdt_user_operation_log,ods,技术研发,tech,日志/任务/系统,用户操作日志表
ods_brand_community,ods,职能后台,admin,汽车/品牌/车型,
ods_brand_detail,ods,职能后台,admin,汽车/品牌/车型,
