note_id,account_id,note_title,content_type,publish_time,keyword_main,topic,product_id,kol_id,source_type,note_url,created_at
note_0001,acct_main_001,通勤包：避坑指南,short_video,2026-07-05 19:45:00,通勤包,夏日生活,prod_004,kol_002,kol_coop,https://www.xiaohongshu.com/explore/mock_0001,2026-07-14 15:47:24
note_0002,acct_main_001,防晒衣：避坑指南,live_replay,2026-07-14 09:15:00,防晒衣,好物分享,prod_004,kol_002,kol_coop,https://www.xiaohongshu.com/explore/mock_0002,2026-07-14 15:47:24
note_0003,acct_main_001,防晒衣：实测分享,live_replay,2026-06-29 18:30:00,防晒衣,好物分享,prod_005,,organic,https://www.xiaohongshu.com/explore/mock_0003,2026-07-14 15:47:24
note_0004,acct_main_001,收纳好物：高收藏清单,image_text,2026-07-02 18:00:00,收纳好物,通勤穿搭,prod_003,,organic,https://www.xiaohongshu.com/explore/mock_0004,2026-07-14 15:47:24
note_0005,acct_main_001,收纳好物：实测分享,live_replay,2026-07-06 22:30:00,收纳好物,效率提升,prod_006,,organic,https://www.xiaohongshu.com/explore/mock_0005,2026-07-14 15:47:24
note_0006,acct_main_001,收纳好物：新手必看,image_text,2026-06-29 12:30:00,收纳好物,通勤穿搭,prod_002,kol_013,kol_coop,https://www.xiaohongshu.com/explore/mock_0006,2026-07-14 15:47:24
note_0007,acct_main_001,防晒衣：实测分享,image_text,2026-07-03 08:45:00,防晒衣,好物分享,prod_006,kol_012,kol_coop,https://www.xiaohongshu.com/explore/mock_0007,2026-07-14 15:47:24
note_0008,acct_main_001,AI学习：新手必看,image_text,2026-07-06 20:30:00,AI学习,好物分享,prod_006,kol_013,kol_coop,https://www.xiaohongshu.com/explore/mock_0008,2026-07-14 15:47:24
note_0009,acct_main_001,通勤包：避坑指南,image_text,2026-06-26 13:45:00,通勤包,夏日生活,prod_002,,organic,https://www.xiaohongshu.com/explore/mock_0009,2026-07-14 15:47:24
note_0010,acct_main_001,通勤包：新手必看,image_text,2026-06-20 16:00:00,通勤包,好物分享,prod_006,,organic,https://www.xiaohongshu.com/explore/mock_0010,2026-07-14 15:47:24
note_0011,acct_main_001,收纳好物：避坑指南,image_text,2026-06-29 15:45:00,收纳好物,新手指南,prod_004,,organic,https://www.xiaohongshu.com/explore/mock_0011,2026-07-14 15:47:24
note_0012,acct_main_001,夏季穿搭：避坑指南,short_video,2026-07-05 18:45:00,夏季穿搭,通勤穿搭,prod_001,,organic,https://www.xiaohongshu.com/explore/mock_0012,2026-07-14 15:47:24
note_0013,acct_main_001,收纳好物：实测分享,short_video,2026-07-10 16:45:00,收纳好物,好物分享,prod_002,,organic,https://www.xiaohongshu.com/explore/mock_0013,2026-07-14 15:47:24
note_0014,acct_main_001,夏季穿搭：新手必看,image_text,2026-06-28 22:30:00,夏季穿搭,效率提升,prod_004,,ad,https://www.xiaohongshu.com/explore/mock_0014,2026-07-14 15:47:24
note_0015,acct_main_001,夏季穿搭：实测分享,short_video,2026-06-20 22:30:00,夏季穿搭,新手指南,prod_006,,organic,https://www.xiaohongshu.com/explore/mock_0015,2026-07-14 15:47:24
note_0016,acct_main_001,低卡晚餐：避坑指南,live_replay,2026-06-25 19:15:00,低卡晚餐,夏日生活,prod_004,,organic,https://www.xiaohongshu.com/explore/mock_0016,2026-07-14 15:47:24
note_0017,acct_main_001,通勤包：实测分享,live_replay,2026-06-29 13:45:00,通勤包,效率提升,prod_002,,organic,https://www.xiaohongshu.com/explore/mock_0017,2026-07-14 15:47:24
note_0018,acct_main_001,防晒衣：高收藏清单,image_text,2026-07-06 16:00:00,防晒衣,夏日生活,prod_004,kol_011,kol_coop,https://www.xiaohongshu.com/explore/mock_0018,2026-07-14 15:47:24
note_0019,acct_main_001,AI学习：高收藏清单,short_video,2026-07-12 11:00:00,AI学习,夏日生活,prod_004,,organic,https://www.xiaohongshu.com/explore/mock_0019,2026-07-14 15:47:24
note_0020,acct_main_001,通勤包：实测分享,short_video,2026-06-21 11:30:00,通勤包,好物分享,prod_002,kol_015,kol_coop,https://www.xiaohongshu.com/explore/mock_0020,2026-07-14 15:47:24
note_0021,acct_main_001,低卡晚餐：避坑指南,short_video,2026-07-02 10:15:00,低卡晚餐,效率提升,prod_003,,organic,https://www.xiaohongshu.com/explore/mock_0021,2026-07-14 15:47:24
